# IOB BEST DEV SCORE at EPOCH: 63
ID	NE	Total	O	S-PER	S-LOC	B-LOC	E-LOC	B-PER	E-PER	I-PER	I-ORG	B-ORG	E-ORG	I-LOC	S-ORG	B-MISC	E-MISC	S-MISC	I-MISC	Predict	Correct	Recall	Precision	F1	
0	O	33560	33448	18	21	20	6	0	3	0	9	13	9	6	1	6	0	0	0	33552	33448	99.666	99.690	99.678	
1	S-PER	451	22	420	4	0	0	2	0	0	0	0	0	0	1	0	2	0	0	440	420	93.126	95.455	94.276	
2	S-LOC	389	13	1	348	2	16	1	0	0	0	0	2	0	2	0	4	0	0	393	348	89.460	88.550	89.003	
3	B-LOC	216	23	0	3	177	0	3	0	0	4	4	0	2	0	0	0	0	0	212	177	81.944	83.491	82.710	
4	E-LOC	216	12	0	10	1	178	0	5	0	0	0	8	2	0	0	0	0	0	212	178	82.407	83.962	83.178	
5	B-PER	174	2	0	0	0	0	170	0	0	0	1	0	1	0	0	0	0	0	180	170	97.701	94.444	96.045	
6	E-PER	174	1	1	0	0	1	0	170	0	0	0	1	0	0	0	0	0	0	180	170	97.701	94.444	96.045	
7	I-PER	131	0	0	0	0	0	0	0	130	0	0	0	1	0	0	0	0	0	135	130	99.237	96.296	97.744	
8	I-ORG	120	12	0	0	2	0	0	0	2	96	1	3	4	0	0	0	0	0	115	96	80.000	83.478	81.702	
9	B-ORG	115	6	0	0	6	0	2	0	0	0	101	0	0	0	0	0	0	0	121	101	87.826	83.471	85.593	
10	E-ORG	115	5	0	1	0	8	0	2	0	3	0	96	0	0	0	0	0	0	120	96	83.478	80.000	81.702	
11	I-LOC	50	5	0	3	4	3	2	0	3	3	0	0	27	0	0	0	0	0	43	27	54.000	62.791	58.065	
12	S-ORG	13	3	0	3	0	0	0	0	0	0	1	1	0	5	0	0	0	0	9	5	38.462	55.556	45.455	
13	B-MISC	35	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	41	35	100.000	85.366	92.105	
14	E-MISC	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	41	35	100.000	85.366	92.105	
15	S-MISC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	
16	I-MISC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	
35436/35794 (98.99983%)

# IOB TEST SCORE at best score of DEV: 
ID	NE	Total	O	S-PER	S-LOC	B-LOC	E-LOC	B-PER	E-PER	I-PER	I-ORG	B-ORG	E-ORG	I-LOC	S-ORG	B-MISC	E-MISC	S-MISC	I-MISC	Predict	Correct	Recall	Precision	F1	
0	O	38098	38023	3	3	11	2	0	2	0	16	21	11	2	2	2	0	0	0	38146	38023	99.803	99.678	99.740	
1	S-PER	668	28	621	18	0	0	0	0	0	0	1	0	0	0	0	0	0	0	630	621	92.964	98.571	95.686	
2	S-LOC	446	6	0	418	0	8	0	0	0	3	0	6	0	3	0	2	0	0	466	418	93.722	89.700	91.667	
3	B-LOC	203	21	0	2	170	0	0	0	0	1	8	0	1	0	0	0	0	0	191	170	83.744	89.005	86.294	
4	E-LOC	203	6	0	12	0	174	0	2	0	0	0	9	0	0	0	0	0	0	191	174	85.714	91.099	88.325	
5	B-PER	214	4	2	0	0	0	197	0	0	5	6	0	0	0	0	0	0	0	205	197	92.056	96.098	94.033	
6	E-PER	214	4	2	0	0	0	0	195	2	0	0	11	0	0	0	0	0	0	205	195	91.121	95.122	93.079	
7	I-PER	120	4	0	0	0	0	0	0	115	1	0	0	0	0	0	0	0	0	120	115	95.833	95.833	95.833	
8	I-ORG	108	12	0	0	1	0	2	0	2	81	4	4	2	0	0	0	0	0	117	81	75.000	69.231	72.000	
9	B-ORG	101	16	0	1	4	0	4	0	0	3	73	0	0	0	0	0	0	0	114	73	72.277	64.035	67.907	
10	E-ORG	101	8	0	3	0	5	0	6	0	3	1	73	0	2	0	0	0	0	114	73	72.277	64.035	67.907	
11	I-LOC	45	6	0	0	5	2	2	0	1	4	0	0	25	0	0	0	0	0	30	25	55.556	83.333	66.667	
12	S-ORG	38	5	2	8	0	0	0	0	0	0	0	0	0	23	0	0	0	0	30	23	60.526	76.667	67.647	
13	B-MISC	52	2	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	52	50	96.154	96.154	96.154	
14	E-MISC	52	1	0	1	0	0	0	0	0	0	0	0	0	0	0	50	0	0	52	50	96.154	96.154	96.154	
15	S-MISC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	
16	I-MISC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	
40288/40663 (99.07779%)
# TEST EVAL: processed 40663 tokens with 1722 phrases; found: 1696 phrases; correct: 1545.
# BEST DEV SCORE:  89.35 at epoch 63
# TEST SCORE:  90.4 at epoch 63
