# IOB BEST DEV SCORE at EPOCH: 32
ID	NE	Total	O	S-PER	S-LOC	B-LOC	E-LOC	B-PER	E-PER	I-PER	I-ORG	B-ORG	E-ORG	I-LOC	S-ORG	B-MISC	E-MISC	S-MISC	I-MISC	Predict	Correct	Recall	Precision	F1	
0	O	33560	33520	19	13	1	0	0	0	0	0	0	0	0	7	0	0	0	0	33552	33520	99.881	99.905	99.893	
1	S-PER	451	9	437	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	460	437	96.896	95.000	95.939	
2	S-LOC	389	18	3	363	0	1	0	0	0	0	0	0	0	4	0	0	0	0	380	363	93.316	95.526	94.408	
3	B-LOC	216	1	0	0	207	0	6	0	0	0	2	0	0	0	0	0	0	0	215	207	95.833	96.279	96.056	
4	E-LOC	216	1	0	0	0	207	0	6	0	0	0	2	0	0	0	0	0	0	215	207	95.833	96.279	96.056	
5	B-PER	174	0	0	0	1	0	173	0	0	0	0	0	0	0	0	0	0	0	179	173	99.425	96.648	98.017	
6	E-PER	174	0	0	0	0	1	0	173	0	0	0	0	0	0	0	0	0	0	179	173	99.425	96.648	98.017	
7	I-PER	131	0	0	0	0	0	0	0	130	0	0	0	1	0	0	0	0	0	131	130	99.237	99.237	99.237	
8	I-ORG	120	0	0	0	0	0	0	0	0	117	0	0	2	0	1	0	0	0	120	117	97.500	97.500	97.500	
9	B-ORG	115	0	0	0	6	0	0	0	0	0	109	0	0	0	0	0	0	0	111	109	94.783	98.198	96.460	
10	E-ORG	115	0	0	0	0	6	0	0	0	0	0	108	0	0	0	1	0	0	110	108	93.913	98.182	96.000	
11	I-LOC	50	0	0	0	0	0	0	0	1	3	0	0	46	0	0	0	0	0	49	46	92.000	93.878	92.929	
12	S-ORG	13	3	1	2	0	0	0	0	0	0	0	0	0	7	0	0	0	0	21	7	53.846	33.333	41.176	
13	B-MISC	35	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	36	35	100.000	97.222	98.592	
14	E-MISC	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	36	35	100.000	97.222	98.592	
15	S-MISC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	
16	I-MISC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	
35667/35794 (99.64519%)

# IOB TEST SCORE at best score of DEV: 
ID	NE	Total	O	S-PER	S-LOC	B-LOC	E-LOC	B-PER	E-PER	I-PER	I-ORG	B-ORG	E-ORG	I-LOC	S-ORG	B-MISC	E-MISC	S-MISC	I-MISC	Predict	Correct	Recall	Precision	F1	
0	O	38098	38069	3	5	6	1	1	4	1	1	1	2	0	4	0	0	0	0	38099	38069	99.924	99.921	99.923	
1	S-PER	668	11	640	15	0	0	0	0	0	0	0	0	0	2	0	0	0	0	649	640	95.808	98.613	97.191	
2	S-LOC	446	10	1	428	1	4	0	0	0	0	1	0	0	1	0	0	0	0	455	428	95.964	94.066	95.006	
3	B-LOC	203	0	0	1	190	0	4	0	0	0	7	0	1	0	0	0	0	0	207	190	93.596	91.787	92.683	
4	E-LOC	203	1	0	0	0	191	0	4	0	0	0	7	0	0	0	0	0	0	207	191	94.089	92.271	93.171	
5	B-PER	214	0	2	1	1	0	206	0	0	0	4	0	0	0	0	0	0	0	218	206	96.262	94.495	95.370	
6	E-PER	214	0	1	0	0	1	0	205	3	0	0	4	0	0	0	0	0	0	218	205	95.794	94.037	94.907	
7	I-PER	120	0	0	0	0	0	2	0	117	1	0	0	0	0	0	0	0	0	121	117	97.500	96.694	97.095	
8	I-ORG	108	0	0	0	0	0	0	0	0	102	0	0	6	0	0	0	0	0	112	102	94.444	91.071	92.727	
9	B-ORG	101	0	0	0	9	0	5	0	0	0	87	0	0	0	0	0	0	0	100	87	86.139	87.000	86.567	
10	E-ORG	101	0	0	0	0	9	0	5	0	0	0	87	0	0	0	0	0	0	100	87	86.139	87.000	86.567	
11	I-LOC	45	1	0	0	0	0	0	0	0	8	0	0	36	0	0	0	0	0	43	36	80.000	83.721	81.818	
12	S-ORG	38	7	2	5	0	1	0	0	0	0	0	0	0	23	0	0	0	0	30	23	60.526	76.667	67.647	
13	B-MISC	52	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	52	52	100.000	100.000	100.000	
14	E-MISC	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	52	52	100.000	100.000	100.000	
15	S-MISC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	
16	I-MISC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	
40485/40663 (99.56226%)
# TEST EVAL: processed 40663 tokens with 1722 phrases; found: 1716 phrases; correct: 1622.
# BEST DEV SCORE:  95.21 at epoch 32
# TEST SCORE:  94.36 at epoch 32
