# IOB BEST DEV SCORE at EPOCH: 100
ID	NE	Total	O	S-PER	S-LOC	B-LOC	E-LOC	B-PER	E-PER	I-PER	I-ORG	B-ORG	E-ORG	I-LOC	S-ORG	B-MISC	E-MISC	S-MISC	I-MISC	Predict	Correct	Recall	Precision	F1	
0	O	33560	33456	22	15	17	5	2	1	2	11	14	7	3	2	3	0	0	0	33548	33456	99.690	99.726	99.708	
1	S-PER	451	7	434	3	0	2	1	2	0	0	0	0	0	1	0	1	0	0	460	434	96.231	94.348	95.280	
2	S-LOC	389	8	2	358	2	12	0	0	0	0	0	4	0	1	0	2	0	0	393	358	92.031	91.094	91.560	
3	B-LOC	216	29	0	2	172	0	3	0	0	5	3	0	2	0	0	0	0	0	203	172	79.630	84.729	82.100	
4	E-LOC	216	17	0	9	1	176	0	4	0	1	0	7	1	0	0	0	0	0	203	176	81.481	86.700	84.010	
5	B-PER	174	1	0	0	1	0	172	0	0	0	0	0	0	0	0	0	0	0	182	172	98.851	94.505	96.629	
6	E-PER	174	0	1	0	0	1	0	172	0	0	0	0	0	0	0	0	0	0	182	172	98.851	94.505	96.629	
7	I-PER	131	0	0	0	0	0	0	0	130	0	0	0	1	0	0	0	0	0	137	130	99.237	94.891	97.015	
8	I-ORG	120	11	0	0	1	0	1	0	2	99	1	2	3	0	0	0	0	0	123	99	82.500	80.488	81.481	
9	B-ORG	115	7	0	0	5	0	2	0	0	1	100	0	0	0	0	0	0	0	119	100	86.957	84.034	85.470	
10	E-ORG	115	6	0	0	0	6	0	3	0	3	0	97	0	0	0	0	0	0	118	97	84.348	82.203	83.262	
11	I-LOC	50	4	0	3	4	1	1	0	3	3	0	0	31	0	0	0	0	0	41	31	62.000	75.610	68.132	
12	S-ORG	13	2	1	3	0	0	0	0	0	0	1	1	0	5	0	0	0	0	9	5	38.462	55.556	45.455	
13	B-MISC	35	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	38	35	100.000	92.105	95.890	
14	E-MISC	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	38	35	100.000	92.105	95.890	
15	S-MISC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	
16	I-MISC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	
35472/35794 (99.10041%)

# IOB TEST SCORE at best score of DEV: 
ID	NE	Total	O	S-PER	S-LOC	B-LOC	E-LOC	B-PER	E-PER	I-PER	I-ORG	B-ORG	E-ORG	I-LOC	S-ORG	B-MISC	E-MISC	S-MISC	I-MISC	Predict	Correct	Recall	Precision	F1	
0	O	38098	38013	4	2	13	1	2	2	0	13	22	15	0	5	5	1	0	0	38111	38013	99.777	99.743	99.760	
1	S-PER	668	15	637	15	0	0	0	0	0	0	0	0	0	1	0	0	0	0	648	637	95.359	98.302	96.809	
2	S-LOC	446	4	2	422	0	11	0	0	0	0	0	2	0	1	0	4	0	0	458	422	94.619	92.140	93.363	
3	B-LOC	203	21	0	0	172	0	2	0	0	1	6	0	1	0	0	0	0	0	197	172	84.729	87.310	86.000	
4	E-LOC	203	5	0	12	0	175	0	3	0	0	0	7	0	1	0	0	0	0	197	175	86.207	88.832	87.500	
5	B-PER	214	2	2	0	0	0	207	0	0	3	0	0	0	0	0	0	0	0	219	207	96.729	94.521	95.612	
6	E-PER	214	3	1	0	0	0	0	207	0	0	0	3	0	0	0	0	0	0	219	207	96.729	94.521	95.612	
7	I-PER	120	2	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	120	118	98.333	98.333	98.333	
8	I-ORG	108	12	0	0	2	0	2	0	2	79	3	3	5	0	0	0	0	0	106	79	73.148	74.528	73.832	
9	B-ORG	101	13	0	0	7	0	5	0	0	3	73	0	0	0	0	0	0	0	104	73	72.277	70.192	71.220	
10	E-ORG	101	6	0	2	0	9	0	7	0	2	0	74	0	1	0	0	0	0	106	74	73.267	69.811	71.498	
11	I-LOC	45	7	0	1	3	1	1	0	0	5	0	0	27	0	0	0	0	0	33	27	60.000	81.818	69.231	
12	S-ORG	38	6	2	4	0	0	0	0	0	0	0	2	0	24	0	0	0	0	33	24	63.158	72.727	67.606	
13	B-MISC	52	1	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	56	51	98.077	91.071	94.444	
14	E-MISC	52	1	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	56	51	98.077	91.071	94.444	
15	S-MISC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	
16	I-MISC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	
40330/40663 (99.18107%)
# TEST EVAL: processed 40663 tokens with 1722 phrases; found: 1717 phrases; correct: 1580.
# BEST DEV SCORE:  90.74 at epoch 100
# TEST SCORE:  91.89 at epoch 100
